platform,searchTime,searchQuery,searchInteractionURIs
IPHONE_ARM64,2024-01-14T13:58:23.052Z[UTC],feel goo,[]
IPHONE,2024-01-14T13:58:26.340Z[UTC],feel good ,['spotify:playlist:37i9dQZF1EIgG2NEOhqsD7']
IPHONE_ARM64,2024-01-14T19:05:42.711Z[UTC],tierra,[]
IPHONE_ARM64,2024-01-14T19:05:44.688Z[UTC],tierra w,[]
IPHONE_ARM64,2024-01-14T19:05:45.129Z[UTC],tierra wha,[]
IPHONE_ARM64,2024-01-14T19:05:45.723Z[UTC],tierra whac,[]
IPHONE_ARM64,2024-01-14T19:05:46.800Z[UTC],tierra whack c,[]
IPHONE,2024-01-14T19:05:47.381Z[UTC],tierra whack clo,['spotify:track:6zlBoRMKQv2UyrafMVoQlq']
IPHONE,2024-01-14T19:06:16.514Z[UTC],doja,['spotify:search:doja+cat']
IPHONE,2024-01-14T19:06:17.431Z[UTC],doja cat,['spotify:artist:5cj0lLjcoR7YOSnhnX0Po5']
IPHONE,2024-01-14T19:07:30.723Z[UTC],21,['spotify:search:21+savage']
IPHONE,2024-01-14T19:07:32.047Z[UTC],21 savage,['spotify:artist:1URnnhqYAYcrqrcwql10ft']
,2024-01-15T00:45:59.174Z[UTC],k,[]
,2024-01-15T00:45:59.240Z[UTC],k,[]
,2024-01-15T00:45:59.370Z[UTC],ka,[]
,2024-01-15T00:45:59.419Z[UTC],ka,[]
IPHONE,2024-01-15T00:45:59.727Z[UTC],ka,['spotify:search:kali+uchis']
,2024-01-15T00:47:13.645Z[UTC],kali uchis,[]
,2024-01-15T00:47:13.685Z[UTC],kali,[]
,2024-01-15T00:47:13.685Z[UTC],kali uc,[]
,2024-01-15T00:47:13.686Z[UTC],kali ,[]
,2024-01-15T00:47:13.687Z[UTC],kali uchi,[]
,2024-01-15T00:47:13.687Z[UTC],kali uch,[]
,2024-01-15T00:47:13.689Z[UTC],kali u,[]
,2024-01-15T00:47:13.733Z[UTC],kali uchi,[]
,2024-01-15T00:47:13.736Z[UTC],kali uch,[]
,2024-01-15T00:47:13.748Z[UTC],kali uc,[]
,2024-01-15T00:47:13.749Z[UTC],kali u,[]
,2024-01-15T00:47:13.754Z[UTC],kali,[]
,2024-01-15T00:47:13.760Z[UTC],kali ,[]
IPHONE,2024-01-15T00:47:13.950Z[UTC],kali uch,[]
IPHONE_ARM64,2024-01-15T10:54:12.304Z[UTC],deco,[]
IPHONE,2024-01-15T10:54:12.469Z[UTC],decode,"['spotify:track:1ZLtE9tSJdaUiIJ9YoKHQe', 'spotify:search:decode+paramore']"
IPHONE_ARM64,2024-01-15T11:05:18.066Z[UTC],lil,[]
IPHONE_ARM64,2024-01-15T11:05:18.213Z[UTC],lill,[]
IPHONE_ARM64,2024-01-15T11:05:19.870Z[UTC],lilly allen f,[]
IPHONE,2024-01-15T11:05:19.956Z[UTC],lilly allen fe,['spotify:track:7lIyBKp2KX7ABDjDfo9EtL']
IPHONE,2024-01-15T11:23:20.748Z[UTC],american we,['spotify:track:4MKE0FAyXR8bDVnNyD8RUv']
IPHONE,2024-01-16T02:18:15.265Z[UTC],fight f,['spotify:track:33IQnmtJYjCcrvUUMQgi80']
IPHONE_ARM64,2024-01-16T09:07:40.340Z[UTC],do ,[]
IPHONE,2024-01-16T09:07:43.876Z[UTC],don tolivee,['spotify:artist:4Gso3d4CscCijv0lmajZWs']
IPHONE_ARM64,2024-01-17T23:54:56.680Z[UTC],h,[]
IPHONE_ARM64,2024-01-17T23:54:58.390Z[UTC],hes so,[]
IPHONE,2024-01-17T23:54:59.547Z[UTC],hes so p,['spotify:playlist:2ohCYKV8ULWAdCbb6GCwJs']
IPHONE_ARM64,2024-01-18T20:57:11.289Z[UTC],mwaki ,[]
IPHONE_ARM64,2024-01-18T20:57:12.034Z[UTC],mwaki zer,[]
IPHONE,2024-01-18T20:57:12.259Z[UTC],mwaki zerb,['spotify:track:5KTZgG84bKFGm53lhLtTqc']
IPHONE_ARM64,2024-01-19T09:00:01.095Z[UTC],tie,[]
IPHONE,2024-01-19T09:00:01.723Z[UTC],ties,"['spotify:track:4EmH2iRucAgCOnhuJRotUi', 'spotify:track:4EmH2iRucAgCOnhuJRotUi', 'spotify:track:4EmH2iRucAgCOnhuJRotUi']"
IPHONE,2024-01-19T21:27:28.834Z[UTC],afterlife,['spotify:playlist:6Ig5CqOYhbmC7Io6trPubL']
IPHONE_ARM64,2024-01-21T19:16:34.642Z[UTC],tam,[]
IPHONE,2024-01-21T19:16:34.954Z[UTC],tame ,['spotify:artist:5INjqkS1o8h1imAzPqGZBb']
IPHONE_ARM64,2024-01-21T19:16:45.466Z[UTC],th,[]
IPHONE_ARM64,2024-01-21T19:16:46.012Z[UTC],the ,[]
IPHONE_ARM64,2024-01-21T19:16:46.563Z[UTC],the stri,[]
IPHONE_ARM64,2024-01-21T19:16:47.559Z[UTC],the strik,[]
IPHONE_ARM64,2024-01-21T19:16:50.075Z[UTC],the strok,[]
IPHONE,2024-01-21T19:16:50.429Z[UTC],the strokes,['spotify:artist:0epOFNiUfyON9EYx7Tpr6V']
IPHONE,2024-01-21T19:17:43.534Z[UTC],kanye,['spotify:artist:5K4W6rqBFWDnAN6FQUkS6x']
IPHONE_ARM64,2024-01-21T19:22:23.510Z[UTC],bor,[]
IPHONE_ARM64,2024-01-21T19:22:25.614Z[UTC],no,[]
IPHONE_ARM64,2024-01-21T19:22:25.897Z[UTC],norm,[]
IPHONE_ARM64,2024-01-21T19:22:26.042Z[UTC],normz,[]
IPHONE,2024-01-21T19:22:27.253Z[UTC],norma,['spotify:album:5XpEKORZ4y6OrCZSKsi46A']
IPHONE,2024-01-22T10:07:30.809Z[UTC],tate,['spotify:artist:45dkTj5sMRSjrmBSBeiHym']
IPHONE_ARM64,2024-01-22T23:22:38.545Z[UTC],sel,[]
IPHONE_ARM64,2024-01-22T23:22:39.039Z[UTC],self c,[]
IPHONE,2024-01-22T23:22:39.700Z[UTC],self con,['spotify:track:5GUYJTQap5F3RDQiCOJhrS']
IPHONE_ARM64,2024-01-22T23:25:14.065Z[UTC],mac mil,[]
IPHONE_ARM64,2024-01-22T23:25:14.468Z[UTC],mac miller,[]
IPHONE_ARM64,2024-01-22T23:25:14.984Z[UTC],mac miller st,[]
IPHONE,2024-01-22T23:25:15.564Z[UTC],mac miller stay,['spotify:search:mac+miller+surf']
IPHONE,2024-01-22T23:25:20.535Z[UTC],mac miller stay,['spotify:track:4brX8MJs5hxErgq48f9REO']
OSX_X86_64,2024-01-22T23:26:00.112Z[UTC],k,[]
OSX_X86_64,2024-01-22T23:26:04.100Z[UTC],kendrick lamar ,[]
OSX_X86_64,2024-01-22T23:26:04.497Z[UTC],kendrick lamar l,[]
OSX_X86_64,2024-01-22T23:27:06.719Z[UTC],no ,[]
OSX_X86_64,2024-01-22T23:27:06.806Z[UTC],n,[]
OSX_X86_64,2024-01-22T23:27:06.812Z[UTC],no,[]
IPHONE,2024-01-23T23:01:49.566Z[UTC],its a vibe,['spotify:track:6H0AwSQ20mo62jGlPGB8S6']
IPHONE,2024-01-24T09:06:55.716Z[UTC],the fear ,['spotify:track:7lIyBKp2KX7ABDjDfo9EtL']
,2024-01-30T00:00:32.553Z[UTC],w,[]
,2024-01-30T00:00:32.590Z[UTC],wa,[]
,2024-01-30T00:00:32.648Z[UTC],w,[]
,2024-01-30T00:00:32.652Z[UTC],wa,[]
,2024-01-30T00:00:33.292Z[UTC],wan,[]
,2024-01-30T00:00:33.350Z[UTC],wan,[]
,2024-01-30T00:00:33.646Z[UTC],wana,[]
,2024-01-30T00:00:33.723Z[UTC],wana,[]
IPHONE,2024-01-30T00:00:33.927Z[UTC],wana,[]
IPHONE,2024-01-30T18:34:37.584Z[UTC],pat,['spotify:artist:43mhFhQ4JAknA7Ik1bOZuV']
IPHONE_ARM64,2024-02-03T11:22:08.537Z[UTC],g,[]
IPHONE_ARM64,2024-02-03T11:22:09.957Z[UTC],y,[]
IPHONE,2024-02-03T11:22:15.401Z[UTC],you dont know ,['spotify:track:6LGwYMXXgURfaequXipzHx']
IPHONE,2024-02-03T13:16:25.733Z[UTC],mika,['spotify:track:0KM2y796j63t5RHhvRUxld']
IPHONE_ARM64,2024-02-07T11:39:18.406Z[UTC],e,[]
IPHONE,2024-02-07T11:39:20.182Z[UTC],eyes tra,['spotify:track:4kjI1gwQZRKNDkw1nI475M']
,2024-02-09T00:16:15.262Z[UTC],n,[]
,2024-02-09T00:16:15.356Z[UTC],n,[]
,2024-02-09T00:16:15.527Z[UTC],no,[]
,2024-02-09T00:16:15.596Z[UTC],no,[]
,2024-02-09T00:16:16.361Z[UTC],nob,[]
,2024-02-09T00:16:16.419Z[UTC],nob,[]
,2024-02-09T00:16:18.262Z[UTC],nobo,[]
,2024-02-09T00:16:18.312Z[UTC],nobo,[]
IPHONE,2024-02-09T00:16:18.465Z[UTC],nobo,['spotify:search:nobody+gets+me']
,2024-02-09T00:16:19.313Z[UTC],nobody gets me,[]
IPHONE,2024-02-09T00:16:19.838Z[UTC],nobody gets me,['spotify:track:5Y35SjAfXjjG0sFQ3KOxmm']
IPHONE,2024-02-09T12:55:00.131Z[UTC],11,['spotify:album:0tL8CzbfmF5poGm9puqALR']
IPHONE,2024-02-10T09:06:42.403Z[UTC],heaet of ,['spotify:track:5GK1GYXH16RdfmltogHhAk']
IPHONE,2024-02-10T09:18:38.160Z[UTC],kan,['spotify:artist:5K4W6rqBFWDnAN6FQUkS6x']
IPHONE_ARM64,2024-02-10T18:01:19.148Z[UTC],emm,[]
IPHONE_ARM64,2024-02-10T18:01:19.196Z[UTC],em,[]
IPHONE,2024-02-10T18:01:19.348Z[UTC],emma ,['spotify:show:5VzFvh1JlEhBMS6ZHZ8CNO']
IPHONE,2024-02-11T14:17:13.174Z[UTC],andre,['spotify:search:andr%C3%A9+3000']
IPHONE,2024-02-11T14:17:14.362Z[UTC],andré 3000,['spotify:artist:74V3dE1a51skRkdII8y2C6']
IPHONE,2024-02-12T18:32:49.942Z[UTC],kan,['spotify:album:0k7ALIqqds5oGFtpMsaHLK']
,2024-02-15T00:42:05.266Z[UTC],s,[]
,2024-02-15T00:42:05.338Z[UTC],s,[]
,2024-02-15T00:42:05.740Z[UTC],so,[]
,2024-02-15T00:42:05.800Z[UTC],so,[]
,2024-02-15T00:42:06.254Z[UTC],some,[]
,2024-02-15T00:42:06.302Z[UTC],some,[]
,2024-02-15T00:42:06.582Z[UTC],someo,[]
,2024-02-15T00:42:06.626Z[UTC],someo,[]
,2024-02-15T00:42:07.099Z[UTC],someone ,[]
,2024-02-15T00:42:07.130Z[UTC],someone ,[]
,2024-02-15T00:42:07.737Z[UTC],someone kil,[]
,2024-02-15T00:42:07.762Z[UTC],someone kil,[]
,2024-02-15T00:42:08.576Z[UTC],someone killl,[]
,2024-02-15T00:42:08.587Z[UTC],someone killl,[]
,2024-02-15T00:42:08.624Z[UTC],someone kill ,[]
,2024-02-15T00:42:09.414Z[UTC],someone killl ,[]
,2024-02-15T00:42:09.427Z[UTC],someone killl ,[]
,2024-02-15T00:42:09.472Z[UTC],someone kill ,[]
,2024-02-15T00:42:11.307Z[UTC],someone killl g,[]
,2024-02-15T00:42:11.325Z[UTC],someone killl g,[]
,2024-02-15T00:42:11.575Z[UTC],someone killl gje,[]
,2024-02-15T00:42:11.595Z[UTC],someone killl gje,[]
,2024-02-15T00:42:11.622Z[UTC],someone kill gje,[]
,2024-02-15T00:42:12.347Z[UTC],someone killl ,[]
,2024-02-15T00:42:12.357Z[UTC],someone killl ,[]
,2024-02-15T00:42:12.391Z[UTC],someone kill ,[]
,2024-02-15T00:42:12.545Z[UTC],someone killl t,[]
,2024-02-15T00:42:12.559Z[UTC],someone killl t,[]
,2024-02-15T00:42:12.584Z[UTC],someone kill t,[]
,2024-02-15T00:42:13.085Z[UTC],someone killl the ,[]
,2024-02-15T00:42:13.098Z[UTC],someone killl the ,[]
,2024-02-15T00:42:13.121Z[UTC],someone kill the ,[]
,2024-02-15T00:42:13.839Z[UTC],someone killl the ligh,[]
,2024-02-15T00:42:13.851Z[UTC],someone killl the ligh,[]
,2024-02-15T00:42:13.880Z[UTC],someone kill the ligh,[]
IPHONE,2024-02-15T00:42:14.191Z[UTC],someone killl the ligh,['spotify:track:3xby7fOyqmeON8jsnom0AT']
OSX_X86_64,2024-02-16T10:50:00.149Z[UTC],demons,[]
OSX_X86_64,2024-02-16T10:50:15.508Z[UTC],demons j,[]
IPHONE,2024-02-16T14:21:21.924Z[UTC],thats no,['spotify:track:3tTDOodJcr6vKF2DASlwMZ']
IPHONE,2024-02-19T12:42:22.221Z[UTC],sil,['spotify:track:4nZi6XNe36Ut4Nij3IQ1yC']
IPHONE,2024-02-19T13:12:27.275Z[UTC],sil,[]
IPHONE,2024-02-20T09:12:27.360Z[UTC],mad,['spotify:artist:2kRfqPViCqYdSGhYSM9R0Q']
IPHONE_ARM64,2024-02-21T02:43:27.400Z[UTC],nobo,[]
IPHONE,2024-02-21T02:43:28.331Z[UTC],nobodys,"['spotify:track:0cZDC7uxNK8lqQ3GgyvCnD', 'spotify:track:0cZDC7uxNK8lqQ3GgyvCnD']"
IPHONE_ARM64,2024-02-21T10:21:49.029Z[UTC],drama club 6,[]
IPHONE,2024-02-21T10:22:00.283Z[UTC],drama peter club 69,['spotify:track:2hvxtMyk2QM8PAnc4ZhW3a']
OSX_X86_64,2024-02-21T14:20:32.136Z[UTC],djem,[]
OSX_X86_64,2024-02-21T14:20:33.088Z[UTC],djeme ,[]
OSX_X86_64,2024-02-21T14:20:33.726Z[UTC],djemt,[]
OSX_X86_64,2024-02-21T16:49:46.496Z[UTC],arca tim,[]
OSX_X86_64,2024-02-21T16:50:06.780Z[UTC], time arca,[]
OSX_X86_64,2024-02-21T16:50:06.908Z[UTC], time arca,[]
OSX_X86_64,2024-02-21T17:31:41.816Z[UTC],bardi,[]
OSX_X86_64,2024-02-21T17:31:44.409Z[UTC],bardicore,[]
OSX_X86_64,2024-02-21T17:31:56.478Z[UTC],d,[]
IPHONE,2024-02-21T17:34:43.530Z[UTC],drum and base,"['spotify:playlist:2H966ygk4Iu8KycIsIv6SI', 'spotify:search:drum+and+bass']"
IPHONE,2024-02-21T17:34:46.652Z[UTC],drum and bass,['spotify:playlist:37i9dQZF1EIherXksVvnrN']
,2024-02-22T00:23:45.164Z[UTC],d,[]
,2024-02-22T00:23:45.244Z[UTC],d,[]
,2024-02-22T00:23:45.424Z[UTC],do,[]
,2024-02-22T00:23:45.481Z[UTC],do,[]
,2024-02-22T00:23:45.881Z[UTC],dom,[]
,2024-02-22T00:23:45.923Z[UTC],dom,[]
,2024-02-22T00:23:46.404Z[UTC],dominic,[]
,2024-02-22T00:23:46.453Z[UTC],dominic,[]
,2024-02-22T00:23:46.608Z[UTC],dominic ,[]
,2024-02-22T00:23:46.659Z[UTC],dominic ,[]
IPHONE_ARM64,2024-02-22T00:23:46.730Z[UTC],dominic ,[]
,2024-02-22T00:23:47.254Z[UTC],dominic fike,[]
,2024-02-22T00:23:47.316Z[UTC],dominic fike,[]
IPHONE,2024-02-22T00:23:47.510Z[UTC],dominic fike,['spotify:artist:6USv9qhCn6zfxlBQIYJ9qs']
IPHONE_ARM64,2024-02-22T21:45:44.088Z[UTC],shes on m,[]
IPHONE,2024-02-22T21:45:44.348Z[UTC],shes on my,['spotify:track:4heve4ydl1u6V3AD4moZq9']
IPHONE_ARM64,2024-02-22T21:45:56.250Z[UTC],shes on my m,[]
IPHONE_ARM64,2024-02-22T21:46:15.399Z[UTC],i cant s,[]
IPHONE_ARM64,2024-02-22T21:46:26.996Z[UTC],i cant sleep at night i,[]
IPHONE_ARM64,2024-02-22T21:46:28.064Z[UTC],i cant sleep at night if sh,[]
IPHONE,2024-02-22T21:46:35.521Z[UTC],i cant sleep at night if she aimt ll,[]
IPHONE_ARM64,2024-02-22T21:46:47.475Z[UTC],i cant sleep at night if she aint by my side shes on,[]
IPHONE_ARM64,2024-02-22T21:46:47.713Z[UTC],i cant sleep at night if she aint by my side shes on ,[]
IPHONE,2024-02-22T21:46:51.284Z[UTC],i cant sleep at night if she aint by my side shes on my mind,[]
IPHONE_ARM64,2024-02-22T23:19:52.165Z[UTC],d,[]
IPHONE,2024-02-22T23:19:54.211Z[UTC],disparate ,['spotify:search:disparate+youth']
IPHONE,2024-02-22T23:19:54.847Z[UTC],disparate youth,['spotify:track:7d23MhPFE9eB3U8DPRirnL']
IPHONE,2024-02-23T01:36:13.764Z[UTC],the catar,['spotify:artist:7C64wNX3howEFZjAYRKsfP']
IPHONE,2024-02-23T01:42:58.780Z[UTC],dev,['spotify:artist:7Ip2u3e5Nv6fFb5xyIHxEE']
IPHONE,2024-02-23T02:07:43.098Z[UTC],catara,"['spotify:artist:7C64wNX3howEFZjAYRKsfP', 'spotify:track:5AyL2kgLtTWEu3qO3B9SqK', 'spotify:track:5AyL2kgLtTWEu3qO3B9SqK']"
IPHONE_ARM64,2024-02-23T02:11:58.987Z[UTC],pass ou,[]
IPHONE,2024-02-23T02:11:59.341Z[UTC],pass out,['spotify:track:2i5gkqfLxlCM902kgZVb6v']
OSX_X86_64,2024-02-23T10:52:44.986Z[UTC],gunshot,[]
OSX_X86_64,2024-02-23T10:52:47.215Z[UTC],gunshot ring down,[]
IPHONE,2024-02-24T12:43:14.006Z[UTC],let it ,['spotify:track:2X485T9Z5Ly0xyaghN73ed']
IPHONE,2024-02-26T11:44:07.011Z[UTC],djemte e balo,['spotify:track:7yYyoVELiiLISfgf8VEo5w']
IPHONE_ARM64,2024-02-26T11:44:25.193Z[UTC],djemte e balonave,[]
OSX_X86_64,2024-02-26T12:49:35.027Z[UTC],djemte e ba,[]
OSX_X86_64,2024-02-26T12:49:39.437Z[UTC],djemte e balonave,[]
IPHONE,2024-02-27T09:25:28.973Z[UTC],jungle,['spotify:track:19kHhX6f6EfLU7rcO3RqjO']
IPHONE,2024-02-27T09:28:40.046Z[UTC],keep mo,['spotify:track:4rf0IVQDFjr27T4sgah5Pf']
IPHONE,2024-02-27T14:27:57.784Z[UTC],demons ,['spotify:track:0WGelFYfITJmfOnNyhRUq7']
IPHONE_ARM64,2024-02-28T22:16:41.581Z[UTC],fred agai,[]
OSX_X86_64,2024-02-29T09:31:15.498Z[UTC],demon,[]
OSX_X86_64,2024-02-29T09:31:15.611Z[UTC],demon,[]
OSX_X86_64,2024-02-29T09:31:19.061Z[UTC],demons ,[]
IPHONE,2024-03-01T08:14:50.363Z[UTC],mwaki,['spotify:track:5KTZgG84bKFGm53lhLtTqc']
OSX_X86_64,2024-03-01T14:17:01.263Z[UTC],l,[]
OSX_X86_64,2024-03-01T14:17:02.375Z[UTC],like a ,[]
OSX_X86_64,2024-03-01T17:01:25.250Z[UTC],just ,[]
OSX_X86_64,2024-03-01T17:01:26.824Z[UTC],just bicep,[]
IPHONE_ARM64,2024-03-01T21:44:15.807Z[UTC],l,[]
IPHONE_ARM64,2024-03-01T21:44:16.203Z[UTC],li,[]
IPHONE,2024-03-01T21:44:18.439Z[UTC],little bit ,['spotify:track:4dVejqq0Jn4pSyD7WcQ0nw']
IPHONE_ARM64,2024-03-03T18:39:39.296Z[UTC],d,[]
IPHONE_ARM64,2024-03-03T18:39:40.440Z[UTC],djemte e ,[]
IPHONE,2024-03-03T18:39:41.273Z[UTC],djemte e valo,['spotify:search:djemte+e+vlores']
IPHONE,2024-03-03T18:39:41.715Z[UTC],djemte e vlores,['spotify:track:7yYyoVELiiLISfgf8VEo5w']
IPHONE,2024-03-03T19:02:26.692Z[UTC],what ,['spotify:track:4O9t8Qq941SAzdGlex4noA']
IPHONE_ARM64,2024-03-04T20:58:44.105Z[UTC],oh qu,[]
IPHONE_ARM64,2024-03-04T20:58:44.342Z[UTC],oh que,[]
IPHONE_ARM64,2024-03-04T20:58:45.698Z[UTC],oh que ser,[]
IPHONE,2024-03-04T20:58:45.947Z[UTC],oh que sera,['spotify:track:2n1MTLCis6qPSDKdr5XSDI']
IPHONE,2024-03-04T21:03:49.358Z[UTC],intergala,"['spotify:track:21wYclGDiieKf42kEWxqV9', 'spotify:track:5fpizYGbi5IQoEraj6FP0R']"
IPHONE,2024-03-05T08:12:18.951Z[UTC],air sexy,['spotify:track:6INLpBxo9F5QMer04VXEnd']
OSX_X86_64,2024-03-06T22:50:52.176Z[UTC],so,[]
OSX_X86_64,2024-03-06T22:50:53.452Z[UTC],so into,[]
OSX_X86_64,2024-03-06T23:45:26.940Z[UTC],n,[]
OSX_X86_64,2024-03-06T23:45:27.876Z[UTC],never ,[]
OSX_X86_64,2024-03-06T23:45:30.030Z[UTC],never lose me,[]
,2024-03-07T00:02:05.341Z[UTC],t,[]
,2024-03-07T00:02:05.410Z[UTC],t,[]
,2024-03-07T00:02:07.021Z[UTC],the less i ,[]
,2024-03-07T00:02:07.047Z[UTC],the less i ,[]
,2024-03-07T00:02:07.846Z[UTC],the less i know,[]
IPHONE,2024-03-07T00:02:08.273Z[UTC],the less i know,['spotify:track:6K4t31amVTZDgR3sKmwUJJ']
IPHONE,2024-03-07T08:45:25.826Z[UTC],1123,[]
IPHONE_ARM64,2024-03-09T20:02:30.927Z[UTC],let there be ,[]
IPHONE,2024-03-09T20:02:37.774Z[UTC],let there be light raye,[]
IPHONE,2024-03-11T21:17:10.689Z[UTC],in for it ,['spotify:track:6ydWxkzjDktHsTzvWcaZ1i']
IPHONE_ARM64,2024-03-11T21:17:26.955Z[UTC],in for it  b,[]
IPHONE,2024-03-11T22:08:43.263Z[UTC],make you mine,['spotify:track:48vIfHaK7by6x0T6ucpODL']
OSX_X86_64,2024-03-12T15:57:04.012Z[UTC],ca,[]
OSX_X86_64,2024-03-12T15:57:05.594Z[UTC],camel,[]
OSX_X86_64,2024-03-12T18:54:15.566Z[UTC],depeche mode n,[]
OSX_X86_64,2024-03-12T19:03:58.830Z[UTC],Charlotte Cardin •Dirty Dirty,[]
OSX_X86_64,2024-03-12T19:19:24.166Z[UTC],Love Me Ruchir -,[]
OSX_X86_64,2024-03-12T19:19:54.100Z[UTC],b,[]
OSX_X86_64,2024-03-12T19:19:54.826Z[UTC],bi,[]
OSX_X86_64,2024-03-12T19:19:56.211Z[UTC],biscuits ,[]
OSX_X86_64,2024-03-12T19:19:56.666Z[UTC],biscuits ka,[]
OSX_X86_64,2024-03-12T19:19:58.076Z[UTC],biscuits kace,[]
OSX_X86_64,2024-03-12T19:44:36.991Z[UTC],no ,[]
OSX_X86_64,2024-03-12T20:13:51.480Z[UTC],Still Want U ZHU,[]
OSX_X86_64,2024-03-12T20:34:43.392Z[UTC],Apparently J. Cole,[]
OSX_X86_64,2024-03-12T20:38:16.496Z[UTC],Children Robert Miles,[]
OSX_X86_64,2024-03-12T20:43:03.022Z[UTC],Honeybee,[]
OSX_X86_64,2024-03-12T20:43:03.588Z[UTC],Honeybee l,[]
OSX_X86_64,2024-03-12T20:43:04.536Z[UTC],Honeybee liv,[]
OSX_X86_64,2024-03-12T20:43:05.471Z[UTC],Honeybee living ,[]
OSX_X86_64,2024-03-12T20:43:14.593Z[UTC],m living ,[]
OSX_X86_64,2024-03-12T20:43:17.409Z[UTC],missed conn living ,[]
OSX_X86_64,2024-03-12T20:45:44.853Z[UTC],Joanna • Séduction,[]
OSX_X86_64,2024-03-12T20:45:44.951Z[UTC],Joanna • Séduction,[]
OSX_X86_64,2024-03-12T20:50:49.715Z[UTC],naughty boy runn,[]
OSX_X86_64,2024-03-12T20:57:27.926Z[UTC],Valvé De Hofnar & Felix Jaehn,[]
OSX_X86_64,2024-03-12T20:57:28.016Z[UTC],Valvé De Hofnar & Felix Jaehn,[]
OSX_X86_64,2024-03-12T21:00:55.688Z[UTC],Erase Me - hippnoticz hippnotic - Lets take a drive by,[]
OSX_X86_64,2024-03-12T21:01:07.399Z[UTC],Erase Me - hipp,[]
OSX_X86_64,2024-03-12T21:13:06.283Z[UTC],Harvey Her's,[]
IPHONE,2024-03-12T22:17:15.622Z[UTC],call,['spotify:show:7bnjJ7Va1nM07Um4Od55dW']
OSX_X86_64,2024-03-12T23:25:44.307Z[UTC],sugar daddy fl,[]
OSX_X86_64,2024-03-12T23:39:34.705Z[UTC],Solange • Almeda,[]
OSX_X86_64,2024-03-12T23:40:10.549Z[UTC],kin,[]
OSX_X86_64,2024-03-12T23:40:10.651Z[UTC],kin,[]
OSX_X86_64,2024-03-12T23:40:11.543Z[UTC],king of,[]
OSX_X86_64,2024-03-12T23:40:11.739Z[UTC],king of ,[]
OSX_X86_64,2024-03-12T23:40:13.695Z[UTC],king of e,[]
OSX_X86_64,2024-03-12T23:40:41.960Z[UTC],yaste ,[]
OSX_X86_64,2024-03-12T23:40:42.577Z[UTC],yaste rh,[]
OSX_X86_64,2024-03-12T23:40:42.863Z[UTC],yaste rhy,[]
OSX_X86_64,2024-03-12T23:41:08.783Z[UTC],yaste rhye,[]
OSX_X86_64,2024-03-12T23:41:08.877Z[UTC],yaste rhye,[]
OSX_X86_64,2024-03-12T23:50:22.198Z[UTC],DEEP END  h,[]
OSX_X86_64,2024-03-12T23:50:22.256Z[UTC],DEEP END  ha,[]
OSX_X86_64,2024-03-12T23:51:25.793Z[UTC],NEW -CELLAR FEAT. JP,[]
,2024-03-13T00:30:01.729Z[UTC],h,[]
,2024-03-13T00:30:01.948Z[UTC],h,[]
,2024-03-13T00:30:02.059Z[UTC],he,[]
,2024-03-13T00:30:02.136Z[UTC],he,[]
,2024-03-13T00:30:02.673Z[UTC],hey,[]
,2024-03-13T00:30:02.768Z[UTC],hey,[]
,2024-03-13T00:30:03.154Z[UTC],heym,[]
,2024-03-13T00:30:03.229Z[UTC],heym,[]
,2024-03-13T00:30:03.355Z[UTC],heymo,[]
,2024-03-13T00:30:03.435Z[UTC],heymo,[]
,2024-03-13T00:30:03.709Z[UTC],heymoh,[]
,2024-03-13T00:30:03.834Z[UTC],heymoh,[]
,2024-03-13T00:30:04.476Z[UTC],heymoh re,[]
,2024-03-13T00:30:04.579Z[UTC],heymoh re,[]
,2024-03-13T00:30:04.758Z[UTC],heymoh red,[]
,2024-03-13T00:30:04.845Z[UTC],heymoh red,[]
OSX_X86_64,2024-03-13T00:30:04.895Z[UTC],heymoh red,[]
